Sample number,Production area,Bed ID,Local authority,"Grid reference

Note 1             ",Sampling point,Date sample collected,"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Ligulodinium polyedrum 
cells L-1
(Yessotoxin)","Protoceratium reticulatum 
cells L-1
(Yessotoxin) ","Prorocentrum cordatum 
cells L-1
(Venerupin) "
Jan-21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,04/01/2021,0,0,0,0,0,0,0
Feb-21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,04/01/2021,0,0,0,0,0,0,0
Mar-21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,05/01/2021,0,0,0,400,0,0,0
Apr-21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,05/01/2021,0,0,0,0,0,0,0
May-21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,06/01/2021,0,0,0,0,0,0,0
Jun-21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,11/01/2021,0,0,0,0,0,0,0
Jul-21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,11/01/2021,0,0,0,0,0,0,0
Sep-21,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,11/01/2021,0,0,0,0,0,0,0
Oct-21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,11/01/2021,0,0,0,0,0,0,0
Nov-21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,11/01/2021,0,0,0,0,0,0,0
Dec-21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,11/01/2021,0,0,0,0,0,0,0
13/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,10/01/2021,0,0,0,0,0,0,0
14/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,11/01/2021,0,0,0,0,0,0,0
15/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,12/01/2021,0,0,0,0,0,0,0
16/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,12/01/2021,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,12/01/2021,0,0,0,0,0,0,0
19/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,12/01/2021,0,0,0,0,0,0,0
20/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,12/01/2021,0,0,0,0,0,0,0
21/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,12/01/2021,0,0,0,0,0,0,0
22/21,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,12/01/2021,0,0,0,200,0,0,0
23/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,12/01/2021,0,0,0,0,0,0,0
24/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,12/01/2021,0,0,0,0,0,0,0
25/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,11/01/2021,0,0,0,0,0,0,0
26/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,11/01/2021,0,0,0,0,0,0,0
27/21,The Wash,B003V,Boston BC,TF44234098,Toft,13/01/2021,0,0,0,0,0,0,0
28/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,13/01/2021,0,0,0,0,0,0,0
29/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,13/01/2021,0,0,0,0,0,0,0
30/21,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,13/01/2021,0,0,0,0,0,0,0
31/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,13/01/2021,0,0,0,0,0,0,0
32/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,13/01/2021,0,0,0,0,0,0,0
33/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,14/01/2021,0,0,0,0,0,0,0
34/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,18/01/2021,0,40,0,0,0,0,0
35/21,Swale,B076P,Swale BC,TR01316497,The Causeway,18/01/2021,0,0,0,0,0,0,0
36/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,19/01/2021,0,0,0,0,0,0,0
37/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,19/01/2021,0,0,0,0,0,0,0
38/21,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,19/01/2021,0,0,0,0,0,0,0
39/21,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,19/01/2021,0,0,0,0,0,0,0
40/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,19/01/2021,0,0,0,0,0,0,0
41/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,19/01/2021,0,0,0,800,0,0,0
43/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,20/01/2021,0,0,0,0,0,0,0
44/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,21/01/2021,0,0,0,0,0,0,0
45/21,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,21/01/2021,0,0,0,0,0,0,0
46/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,21/01/2021,0,0,0,0,0,0,0
47/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,25/01/2021,0,0,0,0,0,0,0
48/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,25/01/2021,0,0,0,0,0,0,0
49/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,26/01/2021,0,0,0,0,0,0,0
50/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,26/01/2021,0,0,0,0,0,0,0
51/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,26/01/2021,0,0,0,0,0,0,0
52/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,27/01/2021,0,0,0,600,0,0,0
53/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,27/01/2021,0,0,0,0,0,0,0
55/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,01/02/2021,0,0,0,0,0,0,0
56/21,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,01/02/2021,0,0,0,0,0,0,0
57/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,31/01/2021,0,0,0,0,0,0,0
58/21,The Wash,B003V,Boston BC,TF44234098,Toft,01/02/2021,0,0,0,0,0,0,0
59/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,02/02/2021,0,0,0,0,0,0,0
60/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,01/02/2021,0,0,0,0,0,0,0
61/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,09/02/2021,0,0,0,0,0,0,0
62/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,09/02/2021,0,0,0,0,0,0,0
63/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,09/02/2021,0,0,0,0,0,0,0
64/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,09/02/2021,0,0,0,0,0,0,0
65/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,08/02/2021,0,0,0,0,0,0,0
66/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,09/02/2021,0,0,0,0,0,0,0
67/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,09/02/2021,0,0,0,0,0,0,0
68/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,10/02/2021,0,0,0,0,0,0,0
69/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,10/02/2021,0,0,100,0,0,0,0
70/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,10/02/2021,0,0,0,0,0,0,0
71/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,10/02/2021,0,0,0,0,0,0,0
72/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,10/02/2021,0,0,0,0,0,0,0
73/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,10/02/2021,0,0,0,0,0,0,0
74/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,11/02/2021,0,0,0,0,0,0,0
75/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,11/02/2021,0,0,0,0,0,0,0
76/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,11/02/2021,0,0,0,800,0,0,0
78/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,15/02/2021,0,0,0,80,0,0,0
79/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,15/02/2021,0,0,0,200,0,0,0
80/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,15/02/2021,0,0,0,80,0,0,0
81/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,15/02/2021,0,0,0,0,0,0,0
82/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,15/02/2021,0,0,0,0,0,0,0
83/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,16/02/2021,0,0,0,0,0,0,0
84/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,16/02/2021,0,0,0,0,0,0,0
85/21,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,16/02/2021,0,0,0,0,0,0,0
86/21,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,16/02/2021,0,0,0,800,0,0,0
87/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,16/02/2021,0,0,0,0,0,0,0
88/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,15/02/2021,0,0,0,0,0,0,0
89/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,16/02/2021,0,0,0,0,0,0,0
90/21,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,16/02/2021,0,0,0,1000,0,0,0
91/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,16/02/2021,0,0,0,0,0,0,0
92/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,17/02/2021,0,0,0,400,0,0,0
93/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,17/02/2021,200,0,0,0,0,0,0
94/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,16/02/2021,0,0,0,0,0,0,0
95/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,17/02/2021,0,0,0,0,0,0,0
96/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,17/02/2021,0,0,0,0,0,0,0
97/21,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,17/02/2021,0,0,0,0,0,0,0
98/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,18/02/2021,0,0,0,1000,0,0,0
99/21,Swale,B076P,Swale BC,TR01316497,The Causeway,18/02/2021,0,0,0,0,0,0,0
101/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,22/02/2021,0,0,0,160,0,0,0
102/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,23/02/2021,0,0,0,0,0,0,0
103/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,23/02/2021,0,0,0,0,0,0,0
104/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,22/02/2021,0,0,0,320,0,0,0
105/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,22/02/2021,0,0,0,80,0,0,0
106/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,24/02/2021,0,0,0,0,0,0,0
107/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,25/02/2021,0,0,0,0,0,0,0
108/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,25/02/2021,0,0,0,0,0,0,0
109/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,25/02/2021,0,0,0,560,0,0,0
110/21,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,01/03/2021,0,0,0,800,0,0,0
111/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,01/03/2021,0,0,0,0,0,0,0
112/21,The Wash,B003V,Boston BC,TF44234098,Toft,01/03/2021,0,0,0,0,0,0,0
113/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,02/03/2021,0,0,0,0,0,0,0
114/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,01/03/2021,0,0,0,600,0,0,0
115/21,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,02/03/2021,0,0,0,0,0,0,0
116/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,03/03/2021,0,0,0,0,0,0,0
117/21,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,03/03/2021,0,0,0,0,0,0,0
118/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,04/03/2021,0,0,0,3600,0,0,0
120/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,09/03/2021,0,0,0,0,0,0,0
121/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,09/03/2021,0,0,0,0,0,0,0
122/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,09/03/2021,0,0,0,0,0,0,0
123/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,09/03/2021,40,0,0,1160,0,0,0
124/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,09/03/2021,0,0,0,2400,0,0,0
125/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,09/03/2021,0,0,0,0,0,0,0
126/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,09/03/2021,0,0,0,0,0,0,0
127/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,09/03/2021,0,0,0,0,0,0,0
128/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,09/03/2021,0,0,0,0,0,0,0
129/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,09/03/2021,0,0,0,0,0,0,0
130/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,09/03/2021,0,0,0,0,0,0,0
131/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,09/03/2021,0,0,0,0,0,0,0
132/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,08/03/2021,0,0,0,200,0,0,0
133/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,09/03/2021,0,0,0,0,0,0,0
134/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,10/03/2021,0,0,0,0,0,0,0
135/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,10/03/2021,0,0,0,0,0,0,0
137/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,12/03/2021,0,0,0,0,0,0,0
138/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,15/03/2021,0,0,0,0,0,0,0
139/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,15/03/2021,0,0,0,0,0,0,0
140/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,15/03/2021,0,0,0,0,0,0,0
141/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,14/03/2021,0,0,0,2700,0,0,0
142/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,15/03/2021,0,0,0,0,0,0,0
143/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,15/03/2021,0,0,0,0,0,0,0
144/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,15/03/2021,0,0,0,0,0,0,0
145/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,16/03/2021,0,0,0,0,0,0,0
146/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,16/03/2021,0,0,0,0,0,0,0
147/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,16/03/2021,0,0,0,80,0,0,0
148/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,16/03/2021,0,0,0,0,0,0,0
149/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,17/03/2021,0,0,0,0,0,0,0
150/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,15/03/2021,0,0,0,0,0,0,0
151/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,15/03/2021,0,0,0,80,0,0,40
152/21,Swale,B076P,Swale BC,TR01316497,The Causeway,18/03/2021,0,0,0,0,0,0,0
153/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,21/03/2021,0,0,0,0,0,0,0
154/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,22/03/2021,0,0,0,0,0,0,0
155/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,22/03/2021,0,0,0,0,0,0,0
156/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,22/03/2021,0,0,0,400,0,0,0
157/21,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,23/03/2021,0,0,0,0,0,0,0
158/21,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,23/03/2021,0,0,0,0,0,0,0
159/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,23/03/2021,0,0,0,400,0,0,0
160/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,23/03/2021,0,0,0,0,0,0,0
161/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,23/03/2021,0,0,0,400,0,0,0
162/21,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,24/03/2021,0,0,0,0,0,0,0
163/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,24/03/2021,0,80,0,0,0,0,0
164/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,26/03/2021,0,0,0,0,0,0,0
165/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,29/03/2021,0,0,0,600,0,0,0
166/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,30/03/2021,100,0,0,0,0,0,0
167/21,Portland,B25AK,Dorset Council,SY68707757,Site A,30/03/2021,0,0,0,12720,0,0,0
168/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,06/04/2021,0,0,0,1400,0,0,0
169/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,06/04/2021,0,0,0,160,0,0,40
170/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,06/04/2021,0,0,0,0,0,0,0
171/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,06/04/2021,0,0,0,160,0,0,0
172/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,06/04/2021,0,0,0,400,0,0,0
173/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,06/04/2021,0,0,0,1000,0,0,0
174/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,06/04/2021,0,0,0,0,0,0,0
175/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,06/04/2021,0,0,0,0,0,0,0
176/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,06/04/2021,0,0,0,0,0,0,0
177/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,07/04/2021,0,0,0,240,0,0,0
178/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,07/04/2021,0,0,0,0,0,0,0
180/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,07/04/2021,0,0,0,0,0,0,0
181/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,06/04/2021,0,0,0,160,0,0,0
182/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,06/04/2021,0,40,0,640,0,0,0
183/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,06/04/2021,0,0,0,0,0,0,0
184/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,07/04/2021,0,0,0,0,0,0,0
185/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,07/04/2021,0,0,0,0,0,0,0
186/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,06/04/2021,0,0,0,400,0,0,0
187/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,07/04/2021,0,0,0,400,0,0,0
189/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,08/04/2021,0,0,0,0,0,0,200
190/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,11/04/2021,0,0,0,600,0,0,0
191/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,12/04/2021,0,0,0,0,0,0,0
192/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,12/04/2021,0,0,0,880,0,0,0
193/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,13/04/2021,0,40,0,960,0,0,0
194/21,The Wash,B003V,Boston BC,TF44234098,Toft,12/04/2021,0,0,0,2400,0,0,0
195/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,13/04/2021,0,0,0,0,0,0,0
196/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,12/04/2021,0,0,0,3200,0,0,0
197/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,13/04/2021,0,0,0,0,0,0,0
198/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,13/04/2021,0,0,0,0,0,0,0
199/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,13/04/2021,0,0,0,160,0,0,0
200/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,13/04/2021,0,0,0,0,0,0,0
201/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,13/04/2021,0,0,0,1080,0,0,0
202/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,13/04/2021,0,0,0,0,0,0,0
203/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,13/04/2021,0,0,0,0,0,0,0
204/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,12/04/2021,0,0,0,0,0,0,0
205/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,13/04/2021,0,0,0,200,0,0,0
206/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,13/04/2021,0,0,0,0,0,0,0
207/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,13/04/2021,0,0,0,0,0,0,0
208/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,13/04/2021,0,0,0,0,0,0,0
209/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,12/04/2021,0,0,0,160,0,0,0
210/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,12/04/2021,0,0,0,840,0,0,0
211/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,14/04/2021,0,0,0,0,0,0,0
212/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,14/04/2021,0,0,0,200,0,0,0
213/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,14/04/2021,0,0,0,560,0,0,0
214/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,14/04/2021,0,0,0,640,0,0,0
215/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,14/04/2021,0,0,0,320,0,0,0
